AirTemp_C,Rain_mm,WindSpeed_mps,Humidity_pct
22.5,0,3.2,68
22.1,0,3.1,69
21.8,0,2.9,70
21.4,0,2.8,71
21,0,2.6,72
20.8,0,2.5,74
21.2,1.2,2.7,76
22.4,2.8,3,78
24.6,5.6,3.4,80
26.8,8.2,3.8,82
28.9,10.5,4.1,84
30.5,12.3,4.3,85
31.8,14,4.5,86
32.6,15.4,4.7,87
33.1,18.6,4.9,88
33.5,21.2,5.2,90
32.9,19.8,5,89
31.7,16.1,4.6,87
29.4,12.4,4.2,85
27.2,8.1,3.9,83
25.6,4.2,3.6,81
24.1,1.5,3.3,78
23,0,3,75
22.2,0,2.8,73
21.9,0,2.7,72
21.5,0,2.6,71
21.1,0,2.5,70
20.8,0,2.4,69
20.6,0,2.3,68
20.4,0,2.2,67
20.9,0.8,2.4,69
22,2.5,2.8,71
24.1,4.9,3.1,73
26.3,7.6,3.5,75
28.7,9.8,3.9,77
30.1,11.4,4.2,78
31.4,13,4.5,80
32.2,14.6,4.7,82
32.8,16.3,4.9,83
33,18.1,5.1,85
32.5,17,4.8,84
31.2,14.2,4.4,82
29,10.6,4,80
26.9,6.9,3.6,78
25.3,3.1,3.3,76
23.9,0.9,3,74
22.8,0,2.8,72
22,0,2.6,71
