Rainfall,Soil_pH,Slope,Elevation,Suitability
1200,6.8,5,200,1
900,5.5,12,350,0
1500,7.0,3,180,1
800,5.2,15,420,0
1300,6.5,6,220,1
700,5.0,18,500,0
1400,6.9,4,190,1
950,5.6,10,330,0
1250,6.7,5,210,1
850,5.3,14,390,0
1600,7.2,2,170,1
780,5.1,17,480,0
1350,6.6,6,230,1
880,5.4,13,360,0
1450,7.0,4,200,1
820,5.2,16,450,0
1550,7.1,3,185,1
910,5.5,11,340,0
1280,6.8,5,215,1
760,5.0,19,510,0
1380,6.9,4,195,1
920,5.6,12,325,0
1480,7.0,3,190,1
870,5.3,15,410,0
1320,6.6,6,225,1
790,5.1,18,470,0
1420,6.9,4,205,1
940,5.6,11,335,0
1520,7.1,3,185,1
810,5.2,16,460,0
1360,6.7,5,215,1
890,5.4,14,380,0
1460,7.0,4,195,1
830,5.2,17,490,0
1580,7.2,2,175,1
900,5.5,13,360,0
1290,6.8,6,225,1
770,5.0,19,520,0
1390,6.9,4,205,1
930,5.6,12,345,0
1490,7.0,3,195,1
860,5.3,15,430,0
1340,6.6,6,235,1
800,5.1,18,480,0
1440,6.9,4,210,1
910,5.5,13,355,0
1540,7.1,3,185,1
840,5.2,16,470,0
1370,6.7,5,220,1
790,5.0,19,515,0
